Contents	Opinion
‘Guy who smokes his juul and asks you if you’ve ever had white claw’ is the new ‘girl with a teal Hydroflask telling you she still has ice in there since the day before’	0
@PrettyNu1021 See u would know more about hookah than me didn’t know that’s making ppl gain weight lol	0
Dropped my juul in the toilet... bought a new one. Two days later did the same thing... fml	0
i laugh hard af when vape is life lol	0
@347Gabe im throwing ur juul out	0
I want a margarita and some hookah	0
QT @LeedyLauren: Everyone should know this by now ; PSA My friend was roofied last night at the Hookah Lounge in College Station. Thank god I was there to save her but PLEASE ladies don’t take drinks from anyone!!! And keep an eye on your drink!!	0
me: just a pack of mint juul pods pls cashier: wow..show off me: cashier: me: cashier: ...$16.95	0
Crocs on my feet packin’ that heat juul between my teeth thank you	0
@ShaalanBeg @PatelOncology @JackWestMD I think that ship has sailed and it’s too late to make vaping a regulated and safe smoking cessation tool, too worked into the culture of teens (as the makers planned). I think banning is the only way to head this off now.	-1
why any of y'all vape when it's probably killing you is beyond me. I'll only fill my lungs with what god intended me to: latex paint and oxygen 👋👋👋	-1
@afrozekbeshir really @‘ing everyone with a juul bro😂	0
that juul buzz be hittin my feet more than anything no cap	0
rick ross voice sound like he been smoking hookah since birth.	0
If my grandma buys me juul pods to join the air force should i do it?	0
Platinum vapes really out here w a whole ass billboard 🥴	0
@curlymamaw @CDCTobaccoFree Only chemical in vaping is the nicotine. And you can get it without it.	1
for someone who only hits the occasional social vape, I listen to steamroller TOO much	0
QT @cheydandelion: refillable pods / bigger pods would be cool too ; the juul company should start making their juuls to just have a usb charger on the bottom of the device itself. So u could just plug your juul straight into any USB port like in the car and never have to worry about losing that tiny little charging thing anymore.	0
@ARBryant4 Vape smells are gross	-1
A 13 year old girl smoking a juul just asked me where the after party is It’s 1PM clout kids are built DIFFERENT	-1
IG live is weird as hell to me. Imagine being at the club with your friends and instead of enjoying your time w your friends, u decide to broadcast tyourself sitting down smoking hookah saying “hi wassup” every minute to random people who pop up.	0
QT @rustygunter: That's great!😁😁😂🤣 ; Guys that vape, do y’all shave your pussy completely or leave a landing strip?	0
gunna setup outside my old high school and sell juul pods to students out of my 2004 VW Jetta like the entrepreneur I am	0
@warmdamn Wait which is it the vaping or the 2 consecutive dates...	0
QT @AddieMarieP: Me tries to hangout with someone... Skinny girl with a nice smile: I’ve got my juul Me: ; Fucking cunt	0
Broke my vape pen at work ... but it’s still hitting 😭😭😭😭😭	0
I hit the juul and i cant feel my feet rn 😂	0
That hookah shit lame afff	-1
there’s nothing better than taking a crisp hit of my vape early in the morning 🤣	0
@aspirecigs #HappyFathersDay @oddworld911 ,@philbh77 ,@Alien_Semen ,@axelbeam ,@dr_amp815 ,@irwansyah_vape ,@ShadeyVapes	0
I wanna go to the hookah lounge but I got no friends lmao	0
@CNN @AngelusMerula There was a young man in NJ who was found slumped over in his car. His vape apparatus exploded and a small sliver of metal went through is carotid artery and he died before he could open the car door.	-1
@trippingpossum Sorry for the spam lol. I was taking it orally before, under the tongue and it just..wasn't really lasting all that long. Now I have this vape pod thingy, and I can just take a few drags off of it when I start feeling anxious or tense and I feel a wave of calm flush over me pfft	1
DM me if you can sell me a vape cart in the estates	0
@SMOKTECHLOGY I’ve never had a vape because I’ve never thought to switch	-1
@B_Real Flowers for home. Vapes if traveling.	0
@geekyJustinLee Top 5 is pretty generous. Though I'm definitely above the dude whose emails I keep getting. He orders SO MUCH VAPE JUICE. When he's not in court-ordered drug therapy.	0
@Marruccaaa On g after I used the vape my lungs big asf 😂 I was smoking that hoe for 5 min before I did that	0
@wendyvapes @enbflavor @ijoyglobal @Mike_Vapes @Winnie_hellvape That sounds amazing my friend Wendy...I actually am for once in the last 6 months going to be able to vape on my top ever favorite liquid put on this planet....MBYC Fried by SicBoy...I will be bringing it with me as I get admitted into the hospital today...I'm scared.. :-(	1
I’m in Paris in the bathroom and my flight is boarding so I ran to the bathroom. I’m now on the toilet chugging the rest of my champagne and getting my vape hits in. I’m ashamed of myself	0
The California Democratic Convention is sponsored by Uber, Visa, Juul, Fox, and AirBnB. WTAF? #CADem2019	-1
Just like in the movies, sitting up with a pillow against the headboard after incredible sex, smoking a Juul	1
@xowenm tell me why i thought he had a juul in his hand	0
@lethargicwaldo @cincynancy If you put your ear up to the can and are really silent, you can hear the Juul hit Kreygasm	0
In fairness I was prob the 2010 equivalent of that kid that vapes in class	0
@tbformayor I fw hookah now 🤣 at first thought it was useless	0
this is “no juul july” bitch	-1
@aaron_WALDRUP I hate it I hate all of it Also bring me a juul charger to work.....mine died n i’m sad	0
They putting round up in dank vapes 😂	0
Gushers vape got me fried	0
San Francisco has become the first US city to ban e-cigarette sales until their health effects are clearer. #Sirius XM 115	-1
@kkillah_x nobody goes outside so even if you did try to go to a bar or a hookah lounge they’re EMPTY so it’s still not fun 😂😂😂😂	0
@stelIhudg you have a juul addiction & i am glad i don’t have a juul addiction 😀	-1
@AmericanRose8 @Montchelle66 @charzdesigns @KassMiass @TexasChick1968 @khenry657 @ms_kux @PhoebeDRobinson @LJT_is_me @ElizabethQE20 @Elaines2cents @almostjingo @michael_szumega @surfagogo @multitasker333 @mizdonna @jskielb3 @JenniferKashani @DrLaura2th @CyndeVita @Natashasjam In Colorado you can buy the CBD oil, under tongue. No high, just the pain relief. You can buy at vape stores, don’t even have to go to MMJ store. My neighbor has cancer and he says it helps!	1
Went to get coffee with my dad this morning. I talked him into buying a juul	0
no cops at pride just a guy named Travis in a deadpool snapback and his torrential vape clouds	0
Smoking a juul is not better than smoking cigarettes if you’re pregnant you shouldn’t be smoking. Not sorry. Your child being healthy should mean more than feeding a habit 🤷🏼‍♀️.	-1
boy dem vapes sumn serious i almost died	-1
Theoretically, you can put lean in a Juul.	0
@StoneHamlin If I ever compliment vaping, call the police because I’ve been kidnapped	-1
QT @addvsen: This is exactly why I stopped going and why the city of Austin decided to cut BOTG short with less concerts during summer. The new wave of ppl going/moving here are trash af people. ; last night after blues on the green, zilker was fucking TRASHED. i’m talking juul pods, beer, to go boxes, bags...a lot of it within 100 feet of a trash can. a lot of you guys pretend to care about the earth for twitter points. only about 5 of us stayed to clean. fuck y’all	-1
Heelys on, juul charged, hat backwards. Watch out world.	0
@jordan_gravelin @jbarro The percentage of teenagers vaping is growing by 50% a year...25% in 2017, 38% in 2018, and signs pointing towards 50-60% this year. Draconian measures worth considering to reverse this quickly.	-1
69 dollars for a hookah by the beach?! Shit better come with some oysters and henny.	0
@PPonsetto @FitzTheReporter @GreatDismal @truthorange Can't fault them for trying, vaping is an epidemic with teens	-1
after this last coil burns i’m officially giving up vaping	-1
You, a peasant: Vape Mod My girlfriend’s mother, a god: Wireless Hookah 😈😈	0
this @buyIegaImeds vape i got is the shit i'm never buying any other CBD vape ever again	-1
QT @AmericanLungPA: Agreed! ; @RepRabb The U.S. Surgeon General recently declared youth e-cigarette use an epidemic. Now more than 1 in 4 high school students use e-cigarettes regularly. Now is not the time to defund Pennsylvania’s tobacco prevention programs when they are needed most #SaveMSAinPA	-1
Seriously though, for a city with a retail vacancy crisis, and where small businesses are already struggling to survive, this is a death knell for a whole category of businesses—vape stores—and a huge hit to the city's beloved corner stores	0
@BuddyGoodlet I’m thinking you mean Juul and I don’t do that crap buddy.	-1
Before hand I gave her a sweet smile but I got a b- itch face & google eyes in return. I kept smiling & brushed it off. Afterwards she comes army marching after me as I was vaping outside. Human behavior # 101 “army march” walking is a form of aggression.	0
Need a hookah at home 😩	1
Left my damn juul in the rain and this must be what a real heartbreak feels like 😣	0
it has been 24 hours since my lungs have had precious juul vapor in them. keep me in your thots & prayers	0
@lovemyman_ San Francisco outlaws vaping and plastic straws however permits heroin use, public defecation , and public sex displays. Taxes up 40% and highest gas tax in NATION. Wow..someone still lives there?	0
QT @MC_Cash75: .@KillEFFY but with a juul ; Just saw a wrestler do the HHH water bottle gimmick but with a vape pen.	0
QT @scottbudman: WTF San Francisco? You fascist demagogues just might wanna do bans on feces, urine, hypodermic needles & typhus in the streets. ; The first major city in the country to ban the sale of electronic cigarettes, San Francisco, is the home of Juul. SF also recently approved a ban on the sale of flavored tobacco and a tax on sugar-sweetened drinks.	0
Wow only harlem would have hookah in a hair salon	0
To be honest, I'm still #AgainstSmoking cigarettes and yet, I just started #vaping. Does this make me a hypocrite? 💨	1
QT @tobaccodad: Mood ; Thinking about a vape cloud so massive that it blocks the sun for an hour	0
QT @BIGSANT: 😂😂😂 ; Your MCM smokes hookah.	0
Someone just asked if anyone has a juul charger in our company-wide Slack.. millennials have officially taken over the workforce	0
QT @Alexlovesbooty1: bitch fuck you i texted you back 😂 ; Since you don't wanna text me back bitch I left my juul pods in your car @xobabykaylee	0
QT @arimcneary: people are really out here addicted to a flash drive ; I knew I was more superior to my peers when they became juul addicts and I didn’t	-1
QT @adam22: All of the above 🤷🏾‍♂️ ; 2015 = molly 2016 = lean 2017 = xans 2018 = mango juul pods	0
what the hell kind of vapes in 2019	-1
My grandparents geeneration used to smoke a cigarette after sex. Now we just hit the juul. 😂 #juul #facts	1
@MatthewWSmith2 What about juul pods and tide pods though	0
I feel like my juul is more addicting than cigarettes ever were. But idgaf cuz it’s under half the cost of smoking and doesn’t kill me!!!	1
